Nome Atleta,Categoria,Squadra,1 giri Crono atleti contrapposti_CAMPIONATO ITALIANO PISTA  A/J/S,500 m Sprint_CAMPIONATO ITALIANO PISTA  A/J/S,5000 m punti_CAMPIONATO ITALIANO PISTA  A/J/S,10000 m Eliminazione_CAMPIONATO ITALIANO PISTA  A/J/S,3000 m Americana_CAMPIONATO ITALIANO PISTA  A/J/S,1000 m Sprint_CAMPIONATO ITALIANO PISTA  A/J/S,1 giri Crono atleti contrapposti_Campionato italiano su pista cat.R - Trofeo Skate,"1,5 giri Sprint_Campionato italiano su pista cat.R - Trofeo Skate",3000 m punti_Campionato italiano su pista cat.R - Trofeo Skate,5000 m Eliminazione_Campionato italiano su pista cat.R - Trofeo Skate,9 g Americana_Campionato italiano su pista cat.R - Trofeo Skate,2000 m punti_Campionato italiano su pista cat.R - Trofeo Skate,3000 m Eliminazione_Campionato italiano su pista cat.R - Trofeo Skate,Destrezza 2_Giochi Nazionali per Societa' - B.Tiezzi,2 giri Sprint (GE)_Giochi Nazionali per Societa' - B.Tiezzi,Destrezza 1_Giochi Nazionali per Societa' - B.Tiezzi,8 giri In linea_Giochi Nazionali per Societa' - B.Tiezzi,5 giri In linea_Giochi Nazionali per Societa' - B.Tiezzi,42195 m In linea_CAMPIONATO ITALIANO MARATONA J/S/M - CAMPIONATO IT,21.000 m In linea_CAMPIONATO ITALIANO MARATONA J/S/M - CAMPIONATO IT,100 m Sprint in corsia_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,1 giri Sprint_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,10000 m punti_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,15000 m Eliminazione_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,Team sprint_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,5000 m punti_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,10000 m Eliminazione_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,80 m Sprint in corsia_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,300 m Sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,3000 m punti_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,5000 m Eliminazione_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,Team sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,200 m Sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,2000 m punti_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,3000 m Eliminazione_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,1 giri Crono atleti contrapposti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,"1,5 giri Sprint_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE",3000 m punti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,9 g Americana_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,2000 m punti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,1 giri Crono atleti contr._CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,1000 m Sprint_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,5000 m punti_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,3000 m Americana_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,3000 m punti_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S
FENOGLIO RICCARDO,RAGAZZI 12 M,PATT.S.MAURO TO (TO),,,,,,,,"{'classifica': '33', 'pettorina': '349', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '33.498', 'punti': ''}",,,,"{'classifica': '16', 'pettorina': '349', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '', 'punti': ''}","{'classifica': '21', 'pettorina': '349', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '05.58.636', 'punti': ''}",,,,,,,,,,,,,,,,,,,,"{'classifica': '17', 'pettorina': '349', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '21.898', 'punti': ''}","{'classifica': '16', 'pettorina': '349', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '', 'punti': ''}","{'classifica': '17', 'pettorina': '349', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '', 'punti': ''}",,"{'classifica': '29', 'pettorina': '349', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '32.848', 'punti': ''}",,,"{'classifica': '11', 'pettorina': '349', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '', 'punti': ''}",,,,,
FRANCESCHETTI ALESSANDRO,RAGAZZI 12 M,SKATING C.ROVIGO (RO),,,,,,,,"{'classifica': '38', 'pettorina': '280', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '34.107', 'punti': ''}",,,,"{'classifica': '10', 'pettorina': '280', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '', 'punti': ''}","{'classifica': '11', 'pettorina': '280', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,"{'classifica': '42', 'pettorina': '280', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '23.727', 'punti': ''}","{'classifica': '12', 'pettorina': '280', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '', 'punti': ''}","{'classifica': '36', 'pettorina': '280', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '', 'punti': 'elim.'}",,"{'classifica': '40', 'pettorina': '280', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '34.248', 'punti': ''}",,,"{'classifica': '22', 'pettorina': '280', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '', 'punti': ''}",,,,,
RUSSO ALESSANDRO FRANCESCO,RAGAZZI 12 M,POL. BELLUSCO (MB),,,,,,,,"{'classifica': '39', 'pettorina': '379', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '34.218', 'punti': ''}",,,,"{'classifica': '15', 'pettorina': '379', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}","{'classifica': '19', 'pettorina': '379', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '05.53.408', 'punti': ''}",,,,,,,,,,,,,,,,,,,,"{'classifica': '41', 'pettorina': '379', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '23.443', 'punti': ''}","{'classifica': '19', 'pettorina': '379', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}","{'classifica': '30', 'pettorina': '379', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': 'elim.'}",,"{'classifica': '38', 'pettorina': '379', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '34.072', 'punti': ''}",,,"{'classifica': '18', 'pettorina': '379', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,,,,
CANU GIAN MARIO,RAGAZZI 12 M,CARDANO SKATING (VA),,,,,,,,"{'classifica': '40', 'pettorina': '374', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '34.296', 'punti': ''}",,,,"{'classifica': '17', 'pettorina': '374', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}","{'classifica': '15', 'pettorina': '374', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,"{'classifica': '40', 'pettorina': '374', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '23.230', 'punti': ''}","{'classifica': '19', 'pettorina': '374', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}","{'classifica': '20', 'pettorina': '374', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': 'elim.'}",,"{'classifica': '33', 'pettorina': '374', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '33.255', 'punti': ''}",,,"{'classifica': '20', 'pettorina': '374', 'squadra': 'CARDANO SKATING (VA)', 'tempo': '', 'punti': ''}",,,,,
ROSINI ALVISE LUCIANO,RAGAZZI 12 M,ADHP GRUPPO COSMO (VE),,,,,,,,"{'classifica': '41', 'pettorina': '411', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '34.321', 'punti': ''}",,,,"{'classifica': '12', 'pettorina': '411', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '', 'punti': ''}","{'classifica': '20', 'pettorina': '411', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '05.53.576', 'punti': ''}",,,,,,,,,,,,,,,,,,,,"{'classifica': '37', 'pettorina': '411', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '23.049', 'punti': ''}","{'classifica': '10', 'pettorina': '411', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '', 'punti': ''}","{'classifica': '28', 'pettorina': '411', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '', 'punti': 'elim.'}",,,,,,,,,,
D'ANDREA LORENZO,RAGAZZI 12 M,S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ),,,,,,,,"{'classifica': '43', 'pettorina': '7', 'squadra': 'S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ)', 'tempo': '34.937', 'punti': ''}",,,,"{'classifica': '11', 'pettorina': '7', 'squadra': 'S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ)', 'tempo': '', 'punti': ''}","{'classifica': '30', 'pettorina': '7', 'squadra': 'S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,"{'classifica': '36', 'pettorina': '7', 'squadra': 'S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ)', 'tempo': '22.795', 'punti': ''}","{'classifica': '14', 'pettorina': '7', 'squadra': 'S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ)', 'tempo': '', 'punti': ''}","{'classifica': '19', 'pettorina': '7', 'squadra': 'S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ)', 'tempo': '', 'punti': ''}","{'classifica': '14', 'pettorina': '7', 'squadra': 'S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ)', 'tempo': '21.737', 'punti': ''}","{'classifica': '34', 'pettorina': '7', 'squadra': 'S.D.S. SPECIALISTI DELLO SPORT S.S.DIL.A.R.L. (AQ)', 'tempo': '33.272', 'punti': ''}",,,,,,,,
BACCINO GABRIELE GEO,RAGAZZI 12 M,R.S.VADO LIGURE ASD (SV),,,,,,,,"{'classifica': '44', 'pettorina': '102', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '34.972', 'punti': ''}",,,,"{'classifica': '18', 'pettorina': '102', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': ''}","{'classifica': '40', 'pettorina': '102', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,"{'classifica': '44', 'pettorina': '102', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '24.340', 'punti': ''}","{'classifica': '29', 'pettorina': '102', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': ''}","{'classifica': '38', 'pettorina': '102', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': 'elim.'}",,"{'classifica': '45', 'pettorina': '102', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '35.271', 'punti': ''}",,,"{'classifica': '27', 'pettorina': '102', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': ''}",,,,,
GAGLIARDINI SAMUELE,RAGAZZI 12 M,S.MARIA NUOVA (AN),,,,,,,,"{'classifica': '45', 'pettorina': '356', 'squadra': 'S.MARIA NUOVA (AN)', 'tempo': '35.358', 'punti': ''}",,,,"{'classifica': '19', 'pettorina': '356', 'squadra': 'S.MARIA NUOVA (AN)', 'tempo': '', 'punti': ''}","{'classifica': '42', 'pettorina': '356', 'squadra': 'S.MARIA NUOVA (AN)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '23', 'pettorina': '356', 'squadra': 'S.MARIA NUOVA (AN)', 'tempo': '11.524', 'punti': ''}",,,,,,"{'classifica': '17', 'pettorina': '356', 'squadra': 'S.MARIA NUOVA (AN)', 'tempo': '', 'punti': ''}","{'classifica': '24', 'pettorina': '356', 'squadra': 'S.MARIA NUOVA (AN)', 'tempo': '', 'punti': 'elim.'}",,"{'classifica': '31', 'pettorina': '356', 'squadra': 'S.MARIA NUOVA (AN)', 'tempo': '33.092', 'punti': ''}",,,"{'classifica': '12', 'pettorina': '356', 'squadra': 'S.MARIA NUOVA (AN)', 'tempo': '', 'punti': ''}",,,,,
ALLEGRI ALLEGRA,ESORDIENTI F,S.S.D.S.MENS SANA (SI),,,,,,,,,,,,,,"{'classifica': '1', 'pettorina': '46', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '24.627', 'punti': '400'}","{'classifica': '2', 'pettorina': '46', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '22.059', 'punti': '399'}","{'classifica': '3', 'pettorina': '46', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '30.788', 'punti': '398'}","{'classifica': '3', 'pettorina': '46', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '01.35.454', 'punti': '398'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHISOLFI BIANCA,ESORDIENTI F,REDBLACK R.TEAM (CR),,,,,,,,,,,,,,"{'classifica': '2', 'pettorina': '214', 'squadra': 'REDBLACK R.TEAM (CR)', 'tempo': '24.658', 'punti': '399'}","{'classifica': '15', 'pettorina': '214', 'squadra': 'REDBLACK R.TEAM (CR)', 'tempo': '22.628', 'punti': '386'}","{'classifica': '4', 'pettorina': '214', 'squadra': 'REDBLACK R.TEAM (CR)', 'tempo': '30.840', 'punti': '397'}","{'classifica': '2', 'pettorina': '214', 'squadra': 'REDBLACK R.TEAM (CR)', 'tempo': '01.35.233', 'punti': '399'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIORINI ANNA,ESORDIENTI F,POL. BELLUSCO (MB),,,,,,,,,,,,,,"{'classifica': '3', 'pettorina': '52', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '24.700', 'punti': '398'}","{'classifica': '5', 'pettorina': '52', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '22.366', 'punti': '396'}","{'classifica': '14', 'pettorina': '52', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '31.998', 'punti': '387'}","{'classifica': '11', 'pettorina': '52', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.37.588', 'punti': '389'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOLLI BIANCA,ESORDIENTI F,REDBLACK R.TEAM (CR),,,,,,,,,,,,,,"{'classifica': '4', 'pettorina': '216', 'squadra': 'REDBLACK R.TEAM (CR)', 'tempo': '24.784', 'punti': '397'}","{'classifica': '1', 'pettorina': '216', 'squadra': 'REDBLACK R.TEAM (CR)', 'tempo': '21.868', 'punti': '400'}","{'classifica': '1', 'pettorina': '216', 'squadra': 'REDBLACK R.TEAM (CR)', 'tempo': '30.666', 'punti': '400'}","{'classifica': '1', 'pettorina': '216', 'squadra': 'REDBLACK R.TEAM (CR)', 'tempo': '01.35.123', 'punti': '400'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCCARATO GIORGIA,ESORDIENTI F,ADHP GRUPPO COSMO (VE),,,,,,,,,,,,,,"{'classifica': '5', 'pettorina': '34', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '24.934', 'punti': '396'}","{'classifica': '4', 'pettorina': '34', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '22.338', 'punti': '397'}","{'classifica': '5', 'pettorina': '34', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '31.045', 'punti': '396'}","{'classifica': '4', 'pettorina': '34', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '01.35.775', 'punti': '397'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI SCIUVA ELISABETTA,ESORDIENTI F,PATT.S.MAURO TO (TO),,,,,,,,,,,,,,"{'classifica': '6', 'pettorina': '131', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '24.992', 'punti': '395'}","{'classifica': '3', 'pettorina': '131', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '22.120', 'punti': '398'}","{'classifica': '154', 'pettorina': '131', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '34.899', 'punti': '247'}","{'classifica': '45', 'pettorina': '131', 'squadra': 'PATT.S.MAURO TO (TO)', 'tempo': '01.40.549', 'punti': '358-2.5 (AB)=355.5'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGRO MELISSA MARIA,ESORDIENTI F,SAVONA IN LINE (SV),,,,,,,,,,,,,,"{'classifica': '7', 'pettorina': '163', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '25.067', 'punti': '394'}","{'classifica': '38', 'pettorina': '163', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '23.188', 'punti': '363'}","{'classifica': '13', 'pettorina': '163', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '31.955', 'punti': '388'}","{'classifica': '20', 'pettorina': '163', 'squadra': 'SAVONA IN LINE (SV)', 'tempo': '01.38.798', 'punti': '381'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARANGONI ANNA,ESORDIENTI F,SKATING C.ROVIGO (RO),,,,,,,,,,,,,,"{'classifica': '8', 'pettorina': '23', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '25.245', 'punti': '393'}","{'classifica': '19', 'pettorina': '23', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '22.861', 'punti': '382'}","{'classifica': '15', 'pettorina': '23', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '32.015', 'punti': '386'}","{'classifica': '16', 'pettorina': '23', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '01.38.062', 'punti': '385'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOZZA GLORIA,ESORDIENTI F,PATT.RI S.SIRO (PD),,,,,,,,,,,,,,"{'classifica': '9', 'pettorina': '40', 'squadra': 'PATT.RI S.SIRO (PD)', 'tempo': '25.246', 'punti': '392'}","{'classifica': '8', 'pettorina': '40', 'squadra': 'PATT.RI S.SIRO (PD)', 'tempo': '22.454', 'punti': '393'}","{'classifica': '6', 'pettorina': '40', 'squadra': 'PATT.RI S.SIRO (PD)', 'tempo': '31.256', 'punti': '395'}","{'classifica': '6', 'pettorina': '40', 'squadra': 'PATT.RI S.SIRO (PD)', 'tempo': '01.36.447', 'punti': '395'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEREGO EMMA,ESORDIENTI F,POL. BELLUSCO (MB),,,,,,,,,,,,,,"{'classifica': '10', 'pettorina': '57', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '25.342', 'punti': '391'}","{'classifica': '6', 'pettorina': '57', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '22.397', 'punti': '395'}","{'classifica': '2', 'pettorina': '57', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '30.732', 'punti': '399-0.5 (F)=398.5'}","{'classifica': '5', 'pettorina': '57', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.36.146', 'punti': '396'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNETTI ELEONORA,ESORDIENTI F,A.H.P. PADOVA ASD (PD),,,,,,,,,,,,,,"{'classifica': '11', 'pettorina': '9', 'squadra': 'A.H.P. PADOVA ASD (PD)', 'tempo': '25.361', 'punti': '390'}","{'classifica': '27', 'pettorina': '9', 'squadra': 'A.H.P. PADOVA ASD (PD)', 'tempo': '23.023', 'punti': '374'}","{'classifica': '41', 'pettorina': '9', 'squadra': 'A.H.P. PADOVA ASD (PD)', 'tempo': '32.657', 'punti': '360'}","{'classifica': '22', 'pettorina': '9', 'squadra': 'A.H.P. PADOVA ASD (PD)', 'tempo': '01.39.086', 'punti': '379'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSARAY LEILA,ESORDIENTI F,POL. BELLUSCO (MB),,,,,,,,,,,,,,"{'classifica': '12', 'pettorina': '55', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '25.457', 'punti': '389'}","{'classifica': '18', 'pettorina': '55', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '22.858', 'punti': '383'}","{'classifica': '29', 'pettorina': '55', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '32.306', 'punti': '372'}","{'classifica': '21', 'pettorina': '55', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.38.875', 'punti': '380'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONSIGNORE NOEMI,ESORDIENTI F,GRUPPO P.S.MINIATO (PI),,,,,,,,,,,,,,"{'classifica': '13', 'pettorina': '7', 'squadra': 'GRUPPO P.S.MINIATO (PI)', 'tempo': '25.469', 'punti': '388'}","{'classifica': '17', 'pettorina': '7', 'squadra': 'GRUPPO P.S.MINIATO (PI)', 'tempo': '22.779', 'punti': '384'}","{'classifica': '22', 'pettorina': '7', 'squadra': 'GRUPPO P.S.MINIATO (PI)', 'tempo': '32.132', 'punti': '379'}","{'classifica': '12', 'pettorina': '7', 'squadra': 'GRUPPO P.S.MINIATO (PI)', 'tempo': '01.37.447', 'punti': '391-2.5 (AB)=388.5'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARELLI ELISA,ESORDIENTI F,A.S.D.BRIANZA INLINE (CO),,,,,,,,,,,,,,"{'classifica': '14', 'pettorina': '207', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '25.479', 'punti': '387'}","{'classifica': '11', 'pettorina': '207', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '22.480', 'punti': '390'}","{'classifica': '7', 'pettorina': '207', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '31.282', 'punti': '394-0.5 (F)=393.5'}","{'classifica': '7', 'pettorina': '207', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '01.36.979', 'punti': '393'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSATI VICTORIA,ESORDIENTI F,ROLLER GREEN (AP),,,,,,,,,,,,,,"{'classifica': '15', 'pettorina': '180', 'squadra': 'ROLLER GREEN (AP)', 'tempo': '25.505', 'punti': '386'}","{'classifica': '26', 'pettorina': '180', 'squadra': 'ROLLER GREEN (AP)', 'tempo': '22.991', 'punti': '375'}","{'classifica': '31', 'pettorina': '180', 'squadra': 'ROLLER GREEN (AP)', 'tempo': '32.406', 'punti': '370'}","{'classifica': '26', 'pettorina': '180', 'squadra': 'ROLLER GREEN (AP)', 'tempo': '01.39.260', 'punti': '375'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMAGNOLI MATILDE,ESORDIENTI F,LUNA SPORTS ACADEMY (AN),,,,,,,,,,,,,,"{'classifica': '16', 'pettorina': '229', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '25.506', 'punti': '385'}","{'classifica': '7', 'pettorina': '229', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '22.417', 'punti': '394'}","{'classifica': '16', 'pettorina': '229', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '32.042', 'punti': '385'}","{'classifica': '14', 'pettorina': '229', 'squadra': 'LUNA SPORTS ACADEMY (AN)', 'tempo': '01.37.855', 'punti': '387-0.5 (B)=386.5'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANDI ANITA,ESORDIENTI F,SKATING C.ROVIGO (RO),,,,,,,,,,,,,,"{'classifica': '17', 'pettorina': '22', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '25.558', 'punti': '384'}","{'classifica': '12', 'pettorina': '22', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '22.589', 'punti': '389'}","{'classifica': '17', 'pettorina': '22', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '32.086', 'punti': '383'}","{'classifica': '8', 'pettorina': '22', 'squadra': 'SKATING C.ROVIGO (RO)', 'tempo': '01.36.716', 'punti': '394-2 (A)=392'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARBIERI ELISA,ESORDIENTI F,A.S.D.G.P.SAVONESI (SV),,,,,,,,,,,,,,"{'classifica': '18', 'pettorina': '35', 'squadra': 'A.S.D.G.P.SAVONESI (SV)', 'tempo': '25.566', 'punti': '383'}","{'classifica': '37', 'pettorina': '35', 'squadra': 'A.S.D.G.P.SAVONESI (SV)', 'tempo': '23.174', 'punti': '364'}","{'classifica': '33', 'pettorina': '35', 'squadra': 'A.S.D.G.P.SAVONESI (SV)', 'tempo': '32.423', 'punti': '368'}","{'classifica': '37', 'pettorina': '35', 'squadra': 'A.S.D.G.P.SAVONESI (SV)', 'tempo': '01.40.290', 'punti': '363'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI GALLO SVEVA,ESORDIENTI F,A.H.P. PADOVA ASD (PD),,,,,,,,,,,,,,"{'classifica': '19', 'pettorina': '11', 'squadra': 'A.H.P. PADOVA ASD (PD)', 'tempo': '25.590', 'punti': '382'}","{'classifica': '44', 'pettorina': '11', 'squadra': 'A.H.P. PADOVA ASD (PD)', 'tempo': '23.284', 'punti': '357'}","{'classifica': '28', 'pettorina': '11', 'squadra': 'A.H.P. PADOVA ASD (PD)', 'tempo': '32.302', 'punti': '373'}","{'classifica': '35', 'pettorina': '11', 'squadra': 'A.H.P. PADOVA ASD (PD)', 'tempo': '01.40.088', 'punti': '366'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIZZATO MARTINA,ESORDIENTI F,ADHP GRUPPO COSMO (VE),,,,,,,,,,,,,,"{'classifica': '20', 'pettorina': '32', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '25.696', 'punti': '381'}","{'classifica': '32', 'pettorina': '32', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '23.112', 'punti': '369'}","{'classifica': '26', 'pettorina': '32', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '32.285', 'punti': '375'}","{'classifica': '31', 'pettorina': '32', 'squadra': 'ADHP GRUPPO COSMO (VE)', 'tempo': '01.39.860', 'punti': '370-0.5 (B)=369.5'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA BELLA GIULIA,ESORDIENTI F,POL. BELLUSCO (MB),,,,,,,,,,,,,,"{'classifica': '21', 'pettorina': '53', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '25.739', 'punti': '380'}","{'classifica': '28', 'pettorina': '53', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '23.044', 'punti': '373'}","{'classifica': '34', 'pettorina': '53', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '32.484', 'punti': '367'}","{'classifica': '27', 'pettorina': '53', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.39.610', 'punti': '374-0.5 (B)=373.5'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
